date_posted;funny;helpful;hour_played;recommendation;title;Rank;Year;Genre;Publisher;Global_Sales
14-04-2015;0;0;35;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;36;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;36;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;40;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;40;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;40;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;41;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;42;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;42;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;44;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;47;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;49;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;50;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;52;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;54;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;54;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;55;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;55;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;56;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;57;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;60;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;60;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;62;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;62;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;63;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;65;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;68;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;68;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;71;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;71;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;74;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;74;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;74;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;74;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
14-04-2015;0;0;75;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
